"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","adurl"
"admin","base","Default","simple","3,4","2986685","0","Боди","","","/9/b/9b5562c0-240650_7.jpg","/9/b/9b5562c0-240650_7.jpg","/9/b/9b5562c0-240650_7.jpg","bodi","bodi.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Боди. С длинными рукавами. Трикотаж с моделирующим эффектом. Не выделяется под одеждой. На кнопках внизу.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Боди","0","simple","","",""
"admin","base","Default","simple","","7181090","0","Спортивный бюстгальтер, 2 штуки PETITE FLEUR","","","/5/6/56371259-235099.jpg","/5/6/56371259-235099.jpg","/5/6/56371259-235099.jpg","sportivnyj-bjustgal-ter-2-shtuki-petite-fleur","sportivnyj-bjustgal-ter-2-shtuki-petite-fleur.html","","No layout updates","","","","","","","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Спортивный бюстгальтер, 2 штуки, от PETITE FLEUR. Эластичный материал. Практичная модель без застежек.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Спортивный бюстгальтер, 2 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","3,10","7181279","0","Стринги, 3 штуки Early 20","","","/d/1/d195e2d1-235520.jpg","/d/1/d195e2d1-235520.jpg","/d/1/d195e2d1-235520.jpg","stringi-3-shtuki-early-20","stringi-3-shtuki-early-20.html","","No layout updates","","","","","","","Use config","No","399.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Стринги, 3 штуки. Из прозрачного тюля с рисунком в виде маленьких сердечек. Оригинальные колечки спереди.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Стринги, 3 штуки Early 20","0","simple","","",""
"admin","base","Default","simple","3,5","7181424","0","Формирующие трусики Lascana","","","/7/f/7f1b1dce-235843.jpg","/7/f/7f1b1dce-235843.jpg","/7/f/7f1b1dce-235843.jpg","formirujuschie-trusiki-lascana","formirujuschie-trusiki-lascana.html","","No layout updates","","","","","","","Use config","No","899.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики LASCANA. Благодаря инновационной технике эта эксклюзивная модель визуально формирует область ягодиц. Мягкие вставки сзади выглядят абсолютно естественно. Заниженная талия позволяет носить трусики с любыми брюками. Ручная стирка.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Формирующие трусики Lascana","0","simple","","",""
"admin","base","Default","simple","3,6","7181489","0","Бюстгальтер Push-up, 2 штуки PETITE FLEUR","","","/f/a/fa71a433-235995.jpg","/f/a/fa71a433-235995.jpg","/f/a/fa71a433-235995.jpg","bjustgal-ter-push-up-2-shtuki-petite-fleur","bjustgal-ter-push-up-2-shtuki-petite-fleur.html","","No layout updates","","","","","","","Use config","No","1199.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер Push-up, 2 штуки. С мягкими чашечками. 1x голубой + 1x белый или 1x белый + 1x черный. С изысканной окантовкой из рюша на чашечках и бретелях. Бретели и застежка сзади регулируются.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер Push-up, 2 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","3,4","7181506","0","Кофточка, 2 штуки H.I.S.","","","/0/a/0a0006ac-236032.jpg","/0/a/0a0006ac-236032.jpg","/0/a/0a0006ac-236032.jpg","koftochka-2-shtuki-h-i-s","koftochka-2-shtuki-h-i-s.html","","No layout updates","","","","","","","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Кофточка, 2 штуки. С длинными рукавами. 2 модели в тонкий или двойной рубчик. Красивый круглый вырез с небольшой планкой с пуговицами спереди. Слегка приталенный покрой. Длина ок. 64 см. Машинная стирка. Тонкий рубчик: арт.549825 арт.490522 арт.647480 арт.549534 Двойной рубчик: арт.449984 арт.549891 арт.718598 арт.549856","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Кофточка, 2 штуки H.I.S.","0","simple","","",""
"admin","base","Default","simple","3,5","7181627","0","Трусики, 4 штуки Schiesser","","","/3/5/35d602c0-236293.jpg","/3/5/35d602c0-236293.jpg","/3/5/35d602c0-236293.jpg","trusiki-4-shtuki-schiesser","trusiki-4-shtuki-schiesser.html","","No layout updates","","","","","","","Use config","No","1499.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики, 4 штуки. SCHIESSER. В тонкий рубчик.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики, 4 штуки Schiesser","0","simple","","",""
"admin","base","Default","simple","3,5","7181692","0","Стринги Lascana","","","/f/0/f0fac1a4-236427.jpg","/f/0/f0fac1a4-236427.jpg","/f/0/f0fac1a4-236427.jpg","stringi-lascana","stringi-lascana.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Стринги LASCANA. Нежный прозрачный материал. На поясе тонкое кружево.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Стринги Lascana","0","simple","","",""
"admin","base","Default","simple","3,10","7181754","0","Стринги, 5 штук PETITE FLEUR","","","/3/b/3b5927f3-236546.jpg","/3/b/3b5927f3-236546.jpg","/3/b/3b5927f3-236546.jpg","stringi-5-shtuk-petite-fleur","stringi-5-shtuk-petite-fleur.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Стринги из пике, 5 штук. Суперэластичный материал. Машинная стирка.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Стринги, 5 штук PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","","7182260","0","Трусики Lascana","","","/a/d/ad9af5bb-237917.jpg","/a/d/ad9af5bb-237917.jpg","/a/d/ad9af5bb-237917.jpg","trusiki-lascana","trusiki-lascana.html","","No layout updates","","","","","","","Use config","No","899.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики Lascana. Отделка красивой кружевной лентой.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики Lascana","0","simple","","",""
